School Name,Student Number,Grade,Program Code,BPS Race,First Lang,Home Lang,Home Lang 2,Home Lang 3,SN Code,21-22 ACCESS Overall,22-23 ACCESS Overall,,,,,,,,,,,,,,,,,
School A,195266,5,BLM,Hispanic,Spanish,Spanish,English,,,1.5,4.7,,,,,,,,,,,,,,,,,#N/A
School B,278686,10,REG,Black,Haitian Creole,Haitian Creole,,,,1.7,4.8,,,,,,,,,,,,,,,,,
School C,187111,4,BLS,Hispanic,Spanish,Spanish,,,,1.8,4.8,,,,,,,,,,,,,,,,,
School D,135138,2,REG,Black,English,English,Cape Verdean,Portuguese,,2.1,5.6,,,,,,,,,,,,,,,,,
School E,280888,1,REG,Hispanic,English,English,Spanish,,,2,5.2,,,,,,,,,,,,,,,,,
School F,140688,3,BLC,Asian,Chinese,English,Chinese,,,2.2,5.3,,,,,,,,,,,,,,,,,
School G,182229,4,REG,Hispanic,Spanish,Spanish,,,,2,5,,,,,,,,,,,,,,,,,
School F,250346,1,BLC,Asian,Mandarin,Mandarin,,,,1,3.9,,,,,,,,,,,,,,,,,
School H,271780,4,SI4,Hispanic,Spanish,Spanish,English,,X3,1.9,4.7,,,,,,,,,,,,,,,,,
School F,254563,1,BLC,Asian,Cantonese,Cantonese,,,,1.9,4.7,,,,,,,,,,,,,,,,,
School I,282370,1,REG,Hispanic,Spanish,Spanish,,,,1.8,4.6,,,,,,,,,,,,,,,,,
School E,285033,1,REG,Black,English,English,Cape Verdean,,,1.5,4.2,,,,,,,,,,,,,,,,,
School J,215606,4,REG,Black,Cape Verdean,Cape Verdean,,,,1.9,4.6,,,,,,,,,,,,,,,,,
School K,176422,10,REG,Hispanic,Spanish,English,Spanish,,,1.9,4.6,,,,,,,,,,,,,,,,,
School F,250422,1,REG,Hispanic,Cantonese,English,Cantonese,Toishanese,,1.9,4.5,,,,,,,,,,,,,,,,,
School H,272799,4,SI4,Hispanic,Spanish,Spanish,,,Y3,1.9,4.4,,,,,,,,,,,,,,,,,
School L,220093,1,REG,Hispanic,Portuguese,Portuguese,,,,1.3,3.8,,,,,,,,,,,,,,,,,
School M,202570,1,REG,Hispanic,Portuguese,English,Portuguese,,,1.5,4,,,,,,,,,,,,,,,,,
School J,294232,4,BLK,Black,Cape Verdean,Cape Verdean,,,,1.5,4,,,,,,,,,,,,,,,,,
School N,216844,4,BLS,Hispanic,Spanish,Spanish,,,,1.7,4.2,,,,,,,,,,,,,,,,,
School O,258612,1,REG,Hispanic,Spanish,Spanish,English,,,1.5,4,,,,,,,,,,,,,,,,,
School C,130311,3,BLS,Hispanic,Spanish,Spanish,,,,1.8,4.2,,,,,,,,,,,,,,,,,
School J,214332,1,BLK,Black,Cape Verdean,Cape Verdean,,,,1.3,3.7,,,,,,,,,,,,,,,,,
School P,298376,4,TLS,Hispanic,Spanish,Spanish,,,,1.9,4.3,,,,,,,,,,,,,,,,,
School Q,160430,1,REG,Hispanic,Spanish,Spanish,,,,1.4,3.8,,,,,,,,,,,,,,,,,
School Q,177711,1,BLV,Asian,Vietnamese,English,Vietnamese,,,1.9,4.3,,,,,,,,,,,,,,,,,
School R,137795,1,BLM,Hispanic,Portuguese,Portuguese,,,,1.4,3.7,,,,,,,,,,,,,,,,,
School S,258306,5,BLS,Hispanic,Spanish,Spanish,,,,1.7,4,,,,,,,,,,,,,,,,,
School H,220005,K2,SI4,Hispanic,English,English,Vietnamese,,Y3,1.8,4.1,,,,,,,,,,,,,,,,,
School F,222865,1,BLC,Asian,Chinese,Chinese,,,,1.5,3.8,,,,,,,,,,,,,,,,,
School R,176927,1,BLM,Hispanic,Spanish,Spanish,,,,1,3.3,,,,,,,,,,,,,,,,,
School R,124241,1,BLM,White,Other,Other,,,,1,3.2,,,,,,,,,,,,,,,,,
School T,213757,4,BLM,Hispanic,Spanish,Spanish,,,,1.7,3.9,,,,,,,,,,,,,,,,,
School U,203941,1,BLM,Asian,Vietnamese,Vietnamese,,,,1.3,3.5,,,,,,,,,,,,,,,,,
School F,121308,1,BLC,Asian,Cantonese,Toishanese,,,,1.3,3.5,,,,,,,,,,,,,,,,,
School S,176060,3,BLS,Hispanic,Spanish,Spanish,,,,1.7,3.9,,,,,,,,,,,,,,,,,
School V,248148,9,BLH,Black,Haitian Creole,Haitian Creole,French,,,1.9,4.1,,,,,,,,,,,,,,,,,
School E,133139,1,REG,Black,Cape Verdean,Cape Verdean,,,,1.5,3.6,,,,,,,,,,,,,,,,,
School X,222619,1,TLS,Hispanic,Spanish,Spanish,,,,1.1,3.2,,,,,,,,,,,,,,,,,
School W,195905,11,BLS,Hispanic,Spanish,Spanish,,,,1.9,4,,,,,,,,,,,,,,,,,
School Y,179470,4,REG,Hispanic,Spanish,Spanish,,,,1.9,4,,,,,,,,,,,,,,,,,
School G,120885,4,REG,Hispanic,Portuguese,Portuguese,Portuguese,Portuguese,,1.5,3.6,,,,,,,,,,,,,,,,,
School Z,263938,1,REG,Hispanic,Spanish,English,Spanish,,,1.5,3.6,,,,,,,,,,,,,,,,,
